Well,OD,Time_h,Type,Concentration,Sample,Antibiotic,Lineage,Experiment,Plate,blank_mean,OD_blanked,sample_group,replicate
C4,0.433,16,sample,0.047,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.3426666666666667,M-lines,1
C5,0.193,16,sample,0.125,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.10266666666666667,M-lines,1
C6,0.089,16,sample,0.38,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,-0.0013333333333333391,M-lines,1
C7,0.112,16,sample,1,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.021666666666666667,M-lines,1
C8,0.118,16,sample,2,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.02766666666666666,M-lines,1
C9,0.131,16,sample,4,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.04066666666666667,M-lines,1
C10,0.13,16,sample,8,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.03966666666666667,M-lines,1
C11,0.102,16,sample,16,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.011666666666666659,M-lines,1
C12,0.091,16,sample,32,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,1
D1,0.259,16,sample,0.002,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.1686666666666667,M-lines,2
D2,0.253,16,sample,0.006,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.16266666666666668,M-lines,2
D3,0.438,16,sample,0.016,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.3476666666666667,M-lines,2
D4,0.365,16,sample,0.047,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.27466666666666667,M-lines,2
D5,0.194,16,sample,0.125,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.10366666666666667,M-lines,2
D6,0.138,16,sample,0.38,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.04766666666666668,M-lines,2
D7,0.142,16,sample,1,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.05166666666666665,M-lines,2
D8,0.149,16,sample,2,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.05866666666666666,M-lines,2
D9,0.156,16,sample,4,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.06566666666666666,M-lines,2
D10,0.108,16,sample,8,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.017666666666666664,M-lines,2
D11,0.145,16,sample,16,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.054666666666666655,M-lines,2
D12,0.091,16,sample,32,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,6.666666666666626e-4,M-lines,2
E1,0.289,16,sample,0.002,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.19866666666666666,M-lines,3
E2,0.447,16,sample,0.006,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.3566666666666667,M-lines,3
E3,0.53,16,sample,0.016,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.4396666666666667,M-lines,3
E4,0.496,16,sample,0.047,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.4056666666666667,M-lines,3
E5,0.245,16,sample,0.125,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.15466666666666667,M-lines,3
E6,0.159,16,sample,0.38,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.06866666666666667,M-lines,3
E7,0.16,16,sample,1,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.06966666666666667,M-lines,3
E8,0.167,16,sample,2,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.07666666666666667,M-lines,3
E9,0.169,16,sample,4,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.07866666666666668,M-lines,3
E10,0.166,16,sample,8,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.07566666666666667,M-lines,3
E11,0.143,16,sample,16,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.05266666666666665,M-lines,3
E12,0.095,16,sample,32,M1,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.004666666666666666,M-lines,3
F1,0.511,16,sample,0.002,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.4206666666666667,M-lines,1
F2,0.873,16,sample,0.006,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.7826666666666666,M-lines,1
F3,0.704,16,sample,0.016,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.6136666666666666,M-lines,1
F4,0.96,16,sample,0.047,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.8696666666666666,M-lines,1
F5,0.702,16,sample,0.125,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.6116666666666666,M-lines,1
F6,0.166,16,sample,0.38,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.07566666666666667,M-lines,1
F7,0.167,16,sample,1,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.07666666666666667,M-lines,1
F8,0.176,16,sample,2,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.08566666666666665,M-lines,1
F9,0.175,16,sample,4,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.08466666666666665,M-lines,1
F10,0.17,16,sample,8,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.07966666666666668,M-lines,1
F11,0.146,16,sample,16,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.055666666666666656,M-lines,1
F12,0.092,16,sample,32,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.0016666666666666635,M-lines,1
G1,0.512,16,sample,0.002,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.4216666666666667,M-lines,2
G2,0.644,16,sample,0.006,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.5536666666666666,M-lines,2
G3,0.565,16,sample,0.016,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.4746666666666666,M-lines,2
G4,0.817,16,sample,0.047,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.7266666666666666,M-lines,2
G5,0.284,16,sample,0.125,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.19366666666666665,M-lines,2
G6,0.163,16,sample,0.38,M2,MRP,evolved,Exp1,Plate1,0.09033333333333333,0.07266666666666667,M-lines,2
